TrendID,ProductGroupID,TrendName,Description,StartDate,EndDate,PopularityIndex,GeographicalImpact,DemographicImpact,ForecastedGrowth
cf87d64b-9ba9-46db-a86d-d09547c7fae3,a41c5a75-ddff-431a-a5a7-608543fc06eb,door,Yes themselves structure human civil leader.,7/6/2022,15/2/2020,6,Matthewbury,along,2%
1aa7697f-df39-4a49-83e4-45ad60ed2cb2,d137d414-11b5-4975-ba11-20382e901cc8,two,Friend general ability voice.,31/10/2022,10/8/2020,7,East Monica,simple,8%
9dfa6739-1829-4d60-bda4-0847aa411799,d7cc4c7f-6f73-4825-a5f4-f600669c994b,front,Read these see adult.,6/8/2023,18/4/2024,8,Kathrynstad,goal,5%
4195d37e-ad55-455c-875a-0f67f80512dd,f9830d05-8308-4e11-a3be-5b3acbad064d,sense,On knowledge ball form need bag reflect ever.,19/5/2024,11/5/2024,5,Joanfurt,professor,7%
c6ab88d5-fa4a-4a31-8ecf-0a52462cb66c,cd75c688-fe06-46d2-b520-e643fe6f6e3b,reason,Amount common every with guess section.,22/5/2020,23/6/2021,3,Lake Jeremymouth,participant,2%
0f7228af-e54c-461d-b869-ef43e3990195,f97488a0-493a-411c-8452-38b508a18d67,store,Us training general help.,17/7/2020,19/5/2022,7,Estradafort,development,7%
bf0a31f3-96b0-4636-9fe1-d56e674b5d62,49e85c07-396f-492b-a603-aa4c17dc23d4,buy,Congress theory clearly focus president.,20/1/2023,30/7/2021,7,East Stefanie,president,1%
8986018a-adc9-4159-a1e8-d336f266bd9a,d7595ec7-608f-4143-9bf7-1f106802d529,military,Big mind level behind begin.,6/7/2023,13/6/2022,4,Jenniferchester,do,10%
008adf75-3f64-4491-a184-d83bd1653da3,83397616-5c6e-4664-92e7-3d5d3c53bae9,personal,Throw question certain network respond.,14/11/2023,13/10/2021,10,West Laura,crime,9%
a60f652c-9cc2-4431-8496-4adb4f9151b7,850b80b0-3628-422c-8809-d16a98cc6d97,seat,Produce social six nothing quickly standard most.,16/2/2023,30/10/2023,4,Teresahaven,sort,9%
a0cad0c3-073d-46c5-8166-e4db9fa96b03,c8b733d8-8256-4219-bcd1-8ba8b1ae542d,list,Experience Democrat true.,12/7/2022,30/8/2023,5,New Michael,those,7%
548a19b4-dd74-4b7e-befd-6d806386cea6,40cbe283-8290-4217-bea9-b397f3f9b9e4,behind,Now type top point political himself style.,12/11/2020,26/9/2021,7,North Samuel,store,8%
c42ae85b-2b3f-4fad-9453-9675150111c1,969cb5c6-50f8-4422-af8f-ce41fc6bd943,kitchen,Consumer minute cultural treat hope hotel.,20/12/2021,6/6/2020,5,Lake Kenneth,focus,9%
eba4249a-9131-4449-beac-272307581123,95bbbc20-651c-4acf-87a8-71ba14acee0b,eye,Game strong education fast.,16/8/2023,3/6/2023,6,North Brittany,arrive,5%
b42151bf-86df-4f6a-9a72-04e16b52e716,e718263a-b08e-4cf5-8cbc-e82a40e26bf3,heart,Often fall point other impact president.,21/1/2023,23/11/2023,10,South Jenniferview,answer,1%
0d5152f0-37e6-4258-af30-24efa536c958,af5103f0-36ab-4e38-9f5c-90a4d4e61762,too,Morning arm realize week than military ability any.,16/5/2023,29/8/2022,2,Ryanside,president,3%
1c291c1d-f80d-411e-98e5-f68960615f54,e91b894d-c454-49c3-b941-debdcf2ccc82,clearly,Black these color school kitchen to dream.,19/11/2023,31/1/2022,8,Jasonberg,mind,3%
bb65b2b3-fcb5-4310-a8fb-7f76f44a7f27,26851816-0811-470d-9538-ad92381234fc,agree,Third marriage pull then support.,30/8/2021,10/10/2023,6,Port Jason,out,3%
3b7647e8-0849-4bb3-8627-33451cfce7ac,e01b062d-7a0a-4c8a-a825-c79a8da15a91,traditional,Where feel even material town live government.,6/9/2022,2/5/2023,10,East Michellestad,camera,2%
9f808d35-bc67-4a16-b8d2-4d64c899497b,1bf451e6-c66e-4388-9d61-d92d7171326e,body,Financial nature seem card various organization art.,8/7/2023,2/9/2020,10,Angelamouth,different,8%
aa0fb1b0-e326-4542-bdf2-c94ceb514991,cc34cec6-be81-4a0f-87b7-9c9793ba7548,ready,General mission receive.,7/2/2022,18/2/2020,8,North Angelabury,shake,7%
daf7d2f0-4e76-497a-8267-d6c8e2238d90,39f56687-1390-4e95-af59-62e05721eddd,if,Finish bag radio.,14/4/2020,17/9/2021,9,Walkerville,nation,10%
3ac76e9b-6aa7-4f6c-bd84-ae5a3d47f5e3,8102f0b7-d975-4781-90cd-b5e1f6d819a7,travel,Significant church look TV foreign moment worry.,3/5/2021,29/5/2020,3,Martinezfurt,wish,6%
060af958-ee14-4581-8340-c0934a6a3b4b,8340debc-53ae-42f9-9bdb-29b0c476c10d,like,Throw mouth over instead head enjoy.,29/4/2020,29/5/2021,9,Reynoldschester,well,2%
8a1eb2f9-9794-4b12-8d66-c06445b3f1d6,30393fca-c12b-4721-b7db-1565cee9f3d7,management,Those member positive service fall.,8/1/2024,27/1/2020,4,Lauraton,candidate,1%
ef0c6fe6-e4ff-43c4-8b8e-0dad9826867e,50bf1927-cc70-4670-a0d1-0eb5aa658d99,note,Organization remain firm.,7/5/2021,25/7/2021,9,North Ashleyville,assume,6%
fe5e0518-82cf-46a4-820c-688f4684a337,c1fc7868-45f0-4241-9335-9a3cdf4f912c,point,Fund price candidate site above away.,20/10/2023,18/9/2023,7,Port Christopherfort,eye,6%
51c29176-71a0-45fe-81af-828e7329114e,68043db3-d939-4447-a5bc-416f0170aadb,myself,School student suffer leave daughter safe future.,19/8/2021,2/5/2020,5,Clarkport,new,1%
fb10c76a-54bf-4405-ad89-c4a3c08a50b1,90f93ba7-4561-45d0-9aab-03d8f9c7f7e1,back,Happy range example although happy.,25/5/2020,27/11/2020,9,East Cory,trial,1%
d79f90f1-75db-40cc-bc52-1909e4da7c1d,c1fc7868-45f0-4241-9335-9a3cdf4f912c,type,Hand smile ask manage.,10/11/2023,12/5/2024,8,West Ricardoside,season,9%
fe3de529-4314-4f6f-8524-3488461f3509,3dd21f44-df97-462b-b9a8-b6e32cfa15da,while,Civil address throughout network reason assume admit.,26/5/2022,10/7/2023,1,Knapptown,ask,9%
e4fb1e9b-ed2e-4535-8309-dd2b110d0cd9,0773253d-3a2a-4a16-a492-f36fdc9982fa,base,Military campaign similar media miss first use.,12/4/2023,15/3/2023,2,Jacobside,commercial,4%
79086a5a-6e9e-44bb-89ae-21c32ba295ec,95bbbc20-651c-4acf-87a8-71ba14acee0b,couple,Affect east way keep Republican country bed use.,25/11/2023,16/4/2021,3,Marissaside,exactly,7%
9d8e6ea9-ce0e-43dc-a411-f40d9c07d093,bd1a7d94-8851-4d30-a92d-e73c8703345e,within,Rate possible news truth before.,31/12/2023,28/7/2023,10,Villashire,possible,4%
c50124af-752a-4136-90b7-84ec713358c0,eafe5272-5b29-40bf-afe7-400514884ac6,gun,After realize office machine week fund available.,23/2/2023,27/8/2020,1,Robertfort,cover,10%
5cb53c52-9f47-44cd-914a-ae8daef8de0d,202d5406-4d31-4c89-87b0-0c42a916f7c8,high,Between phone pick tend young relate.,17/11/2021,4/5/2021,5,Josephshire,establish,1%
277659f9-c507-402e-a9ad-63d931361335,70f75b2c-f96a-4a5e-a4e7-784e65536f28,fear,End can out it community character machine.,25/12/2021,17/5/2021,4,New Edwardfort,push,5%
564626fa-b76f-461d-977c-01b0a538fff1,63d6d1a8-088e-4c93-9cf1-71e8abd95b53,year,Stand concern here sport manager know increase.,23/7/2023,26/4/2020,6,Jennyborough,truth,9%
54f44617-ee79-402e-8ea1-d3a36a19cfa9,e7a0ee4b-85e5-47e4-9130-a365726ff003,medical,Actually need six its wear should scientist.,20/2/2022,11/7/2022,9,Lake Annburgh,mention,2%
c456be7f-b5e5-4766-a30d-fee49f09a290,f0c2b689-2f4f-4201-b5c0-789a81dc2734,much,Summer suddenly late break.,19/8/2020,1/3/2024,3,Joshuachester,peace,9%
ca3d2222-20e8-4cf5-b66c-fb2f0f4cce84,35acadb6-bbe4-4a0b-827f-c0c96e3239ff,year,Happen news technology form.,17/4/2020,16/4/2022,8,South Brianfort,hope,2%
df49f6b4-ee26-4eea-ad33-9d21f32f7136,717949e9-b61c-42b6-943a-ad3877768018,whose,My nation computer student development woman student.,16/4/2024,15/12/2021,3,Swansonside,what,3%
763b953a-faf3-49cb-9351-6c8c5c15417b,b80e38a8-39a1-437b-87cf-098e0575fcde,responsibility,Set test view agreement PM.,29/4/2024,14/3/2022,6,East Laurenview,information,3%
240a85b9-aa94-4f3e-a615-8f18edb37600,b54c0294-9383-4680-aa4a-69cec46d765c,act,Board market hit serious.,2/10/2023,9/7/2020,4,Port Lisa,contain,5%
808dc248-8702-42db-947a-34029e54b86b,29f68909-1a76-4c66-ad79-eeca99f3f30a,bar,Author building policy drop realize.,5/3/2022,16/10/2021,2,South Mirandabury,these,7%
e577622a-abc8-45c1-9ba6-f71661d6c648,6379e198-0070-4422-9f19-f46851701ea8,simple,Heavy call visit list.,3/8/2021,2/9/2022,4,Port Nataliefort,discuss,9%
c568b350-c6a1-4944-a5d5-3ce42d514da6,1195878d-b590-4924-8bf3-6f1166462941,at,While state evidence fire stock debate.,21/1/2022,11/2/2023,3,East Nicoletown,those,3%
42c8ced7-f3d7-456f-9412-ef5c55ca15d9,60cf6e80-28fb-432b-97fc-bf38df98ce09,teach,History century majority.,12/6/2024,28/2/2021,10,South Larrytown,several,7%
5ffb6935-79da-44f7-9680-2697bbcd51a6,35acadb6-bbe4-4a0b-827f-c0c96e3239ff,way,Offer huge end same kitchen.,28/12/2023,9/3/2021,3,New Barryberg,clear,9%
5bbfe86a-014b-46a7-8ef4-9dd191dda613,8e6ac237-eabc-4b13-8aa9-b8a86f58b205,body,Send risk along six top.,27/4/2022,6/2/2021,9,Sarahtown,whether,10%
9a77be38-1e35-4cff-bb3c-c7addcb3c986,aebcd796-29c7-4de8-85df-cbff5b60e457,Congress,Stand president section region respond.,31/3/2024,20/9/2021,8,Munozshire,picture,1%
d6169165-0a12-4578-b4d9-c86c269ed3b0,4ed84691-ba9a-402e-811b-deb87b9efb81,station,Arrive provide become almost section gun expect.,29/4/2021,19/3/2020,4,Mariamouth,service,6%
a1e6766e-ba9e-4533-b1bd-e9ea5215a478,a0958eff-9def-4a92-a9c4-75aa5a3827b7,right,Thought prove pattern themselves stock hot.,1/3/2024,24/10/2023,2,East Kimberlybury,miss,4%
63091db2-1d17-4d98-af92-0906a7868d44,6379e198-0070-4422-9f19-f46851701ea8,agent,Another center program exist worker.,7/4/2024,4/1/2022,10,Chapmanshire,any,5%
00d3674d-509e-4fed-962d-5f12cc14e102,e1adbf25-b47b-4ba0-a0a9-f0fbfa9bc98c,century,Few young speak open clear difference yourself.,3/9/2021,3/1/2024,7,Aarontown,health,2%
28e5a966-2eb6-4541-bdbd-ca60567f7eda,96acc880-241f-4479-93cd-7c6e0fb4e36a,almost,Development note goal true amount suddenly.,16/2/2021,5/1/2021,8,Aaronfurt,experience,1%
af259fbe-54ee-4407-a281-7b1505707cc6,8f6e47cf-97e1-460f-84c9-6efeb227f67d,section,Whom another work my those really.,26/4/2022,22/7/2022,9,New Nancy,positive,2%
198f90b7-8f84-4859-b26c-0d9c20fe4fe9,717949e9-b61c-42b6-943a-ad3877768018,force,Law leg people vote improve.,30/10/2022,22/5/2024,1,North Lacey,network,6%
c3b37188-b43a-4355-ac73-40b9ddc77829,96acc880-241f-4479-93cd-7c6e0fb4e36a,debate,Gun benefit election several huge music including.,2/3/2023,26/10/2021,5,Jaredport,break,1%
6c24fcbe-1c98-49e5-9cfd-a7120e711384,969cb5c6-50f8-4422-af8f-ce41fc6bd943,finally,Man music employee director.,1/2/2024,26/6/2020,3,Laurachester,every,7%
2a10f1ba-27a5-4763-995b-f4984b5a4f29,0773253d-3a2a-4a16-a492-f36fdc9982fa,wrong,Detail it want visit here.,7/10/2020,10/1/2023,4,South Jeffrey,sell,4%
e1b61f51-3ef8-47e5-aedf-62755fad0bef,2d976bb0-8b05-449d-a7ff-4055bad6293a,how,Deep along recent big.,17/7/2023,14/12/2021,10,Jefferyside,should,4%
d1527373-020f-4c47-b8c0-2280db09b871,ad774ce9-4c37-4a96-8c0b-dfd089688cdb,join,Fear term writer remember.,2/5/2021,15/12/2023,7,Lyonsbury,public,5%
1198f4c6-3c04-4753-88a2-d7ae8c367108,447f177a-25ab-43c2-bc4d-e8062d1c2587,black,Serious available dream receive summer.,24/3/2024,26/7/2023,2,Port Jamesborough,memory,1%
c36ac8fe-3cc4-429a-8a5c-bab963975b2d,6f0a837e-8633-4ca3-a426-97480b156702,go,Do rock personal lawyer long decide them.,24/7/2022,9/6/2021,5,Michellechester,break,7%
5128c742-a0ea-4a9f-bafe-2f1d84e49d0a,d23f662c-e704-402c-991a-ebf8b6b1836f,democratic,Worker strategy strategy these get spring break particular.,7/9/2023,30/10/2023,9,West Matthew,stop,6%
248ee40b-ede4-4b1b-a863-2123afde5c9a,ccbcf371-3fca-44e8-a5d3-d01d83058b6c,later,Interview energy half hit beat allow tell.,11/12/2020,19/1/2020,3,West Amy,cover,7%
e938a934-b170-4ef0-8def-cea6493ae55d,87f34488-8915-4a00-b320-108328ee2db2,talk,Bit hot answer group kitchen behind.,4/2/2023,24/10/2022,6,Jamesmouth,green,7%
10a2672d-210b-447f-947e-cf5e4ff63e93,e91b894d-c454-49c3-b941-debdcf2ccc82,skill,Method opportunity page.,9/1/2024,23/9/2020,7,Mooreshire,send,2%
92a917fd-7b7c-4363-9e5b-fcf3ce21449e,53e43ef3-2fe0-4b6c-989b-8baa2d66f0df,purpose,Chair reduce fast finally yard read general.,19/5/2024,19/7/2023,10,Kristinafurt,learn,2%
73f8b1df-7d61-4794-af7f-b55c2fb57c88,eafe5272-5b29-40bf-afe7-400514884ac6,each,College push never late everybody mother yeah.,19/9/2020,18/1/2021,4,North Susan,man,5%
859a46a2-5134-43f8-8ad4-c5c0feb15a82,8a665547-a59d-4bde-bc17-8426ab8d5529,move,Name economic west apply move participant.,11/7/2023,19/1/2021,7,North Brianton,reach,7%
ab5a142b-465e-49e6-bde8-4bd7df900086,5939d1d0-d5b1-4108-934e-414a8390abe2,discuss,Bill less military scene guy baby.,3/1/2023,17/1/2022,1,Port Nicholaschester,avoid,5%
f589a4a5-5629-4535-834c-38c6ae08d26f,dd7d7062-4739-4f62-91d7-9cb54b9abf2a,involve,Young natural his ago.,2/8/2023,17/2/2024,8,Port Kyletown,field,10%
7c35574a-55ae-4479-af9e-eff1b57264c0,5f665398-39e4-426d-b4cf-4c6536b2aa2c,do,Happen memory start guess college.,5/7/2023,20/12/2023,6,Scottstad,unit,7%
62e1b634-1bda-4994-bcf8-b1348938ad7b,adaddc68-c73f-4f37-b46c-147ba3406b0f,court,Difficult speech show especially garden with since.,7/6/2020,12/5/2023,4,Lake Shelley,in,7%
2d57d830-cb0d-4eda-8fbf-971d930504fb,f56abf4f-c124-47bf-b02c-acb55a0370d0,drive,Operation traditional action entire.,7/6/2022,2/4/2024,1,New Anna,wall,3%
50f25819-32b1-4404-8cd0-b78ad2483837,4ea42f3a-6ac1-4c0c-95d3-d7cefc3fbeac,heart,Seat memory them mind college size everybody.,17/8/2020,29/12/2020,5,Lake Loretta,also,7%
6d717fa7-d56e-4402-9c54-3947680f9a40,e1adbf25-b47b-4ba0-a0a9-f0fbfa9bc98c,discussion,Accept tend store watch education.,1/4/2023,24/5/2021,7,Justinview,main,3%
7a938fbd-2508-4959-953b-f60a2bafb9f8,cc34cec6-be81-4a0f-87b7-9c9793ba7548,democratic,Candidate may military.,1/3/2022,14/6/2022,5,Nicholaschester,member,8%
b7ceb6cf-8212-4edb-a6e2-fe415f0040f6,4daa6022-c797-4c7a-bfaf-8fbf1e9b5b79,stage,Television exactly government free page power.,28/5/2020,7/4/2024,4,Annaborough,even,4%
3d3cdbd9-8820-495e-a773-2148dd22e0da,dc8f22cc-4762-4962-8ae8-4921ed262ac5,prepare,Quickly agent lot production hot place myself.,15/6/2021,24/9/2020,3,East Ricky,manager,10%
4915b070-2bb0-4db3-b2e4-3779fb0535a6,b9867a58-6649-447b-840f-1775a97153b6,three,Concern bad next.,21/6/2022,7/6/2020,5,Port Megan,glass,1%
c36b4b8a-065d-4c7d-8368-30832dcee901,cb570894-b314-4ba6-b4fb-3362dd6e4df2,reduce,Church PM economic gas we.,7/4/2020,27/6/2022,3,Lake Steven,study,9%
d1f2b577-a621-48d2-b42d-c512e3faba1a,e60722c0-c68f-4627-812d-82e72b50d13f,carry,Resource commercial step particular.,27/9/2020,7/2/2022,2,Johnsonborough,visit,5%
f1019e82-ca33-4907-a1f2-3e2e27b6f82d,a370c758-7584-4155-adec-84e402139062,send,No foreign hit military admit.,18/1/2024,31/1/2022,8,Lake Bruce,grow,1%
c4c2b282-ffca-4bab-9464-20501c659da2,50f8f7dc-ad55-4d20-b456-9000449d2919,affect,Remain husband everything unit chance.,4/12/2023,19/12/2021,5,Christianhaven,food,6%
a736c674-8a89-490d-a1eb-2f5b02d23f41,2309fdd9-30cc-4d4f-9b7f-4374bdabfdeb,eye,Doctor act test half range land.,6/2/2024,29/9/2020,5,Amymouth,interest,1%
d70b5817-218f-42c4-b21f-e6040dfe4e0d,c0ce3381-41d6-4b65-8272-f92485c8a2d4,account,Almost both edge than value partner two defense.,10/10/2021,14/7/2021,1,New Sheryl,situation,3%
afa1b528-bb85-4aee-b0ab-544d1056c16c,8d8ec66d-55ee-45bc-954c-a7e627f36374,account,Toward education determine stay show interview.,2/10/2021,29/3/2020,1,Amandaside,fear,1%
da98f7d9-5c47-459f-88e5-dadee090a20d,58748f35-eac8-4050-9588-9326c773894c,look,More also pattern soon choose.,13/2/2024,4/7/2023,8,Charlesville,action,6%
8ea335de-3bd6-4795-8370-ec60ea8e0762,78185b0a-b0a4-4992-8725-553e9b33228f,recognize,Turn experience Congress resource.,13/9/2021,17/9/2023,6,North Crystal,rest,1%
a3151197-cd93-46b2-9f55-f05dbe6cfb67,4ea42f3a-6ac1-4c0c-95d3-d7cefc3fbeac,by,Feel lose boy they billion recent contain until.,4/6/2020,10/10/2020,9,West Kaylaberg,she,6%
a1b898ae-7e3c-4d46-b7f9-769779b6cb18,b9867a58-6649-447b-840f-1775a97153b6,direction,Soon himself letter before war reason cost.,5/9/2023,22/2/2023,10,Ricehaven,glass,10%
4a8390ef-e0cf-4cf8-b23e-9deefc4f97de,c1fc7868-45f0-4241-9335-9a3cdf4f912c,home,Media instead anything it lawyer else today tough.,24/2/2023,12/11/2020,4,Harristown,probably,1%
6111044e-ea69-4697-b78a-6e9f6cf26cb4,b9867a58-6649-447b-840f-1775a97153b6,family,Paper carry much war decide.,3/4/2023,9/4/2024,6,West Joelside,my,6%
2ac9e8f7-4949-41e6-9614-526a7d1fd3af,c0ce3381-41d6-4b65-8272-f92485c8a2d4,plant,Year front though high mother baby total.,18/2/2024,18/6/2024,5,East Leah,fish,8%
18aeb62d-2b7e-4d9f-a7db-d9f4c668f5c0,1195878d-b590-4924-8bf3-6f1166462941,natural,Down dream plant wall professor.,3/10/2020,13/11/2021,9,Port Ashleyhaven,apply,8%
8f12df80-277a-40d0-a6f8-79aeaa79692a,4ff6add9-88ac-4755-ba82-0f0647e95607,responsibility,Result use partner somebody exist.,30/3/2021,17/6/2020,2,Ochoafurt,voice,1%
